01-22 18:54:32: Training starting...
01-22 18:55:43: New best reward 79.8 (-100.0%) at episode 0, saving model...
01-22 18:56:41: New best reward 113.3 (+42.0%) at episode 1, saving model...
01-22 19:07:24: New best reward 120.3 (+6.2%) at episode 11, saving model...
01-22 19:52:15: New best reward 126.3 (+5.0%) at episode 49, saving model...
01-22 20:00:56: New best reward 131.3 (+4.0%) at episode 57, saving model...
01-22 20:19:06: New best reward 150.8 (+14.9%) at episode 74, saving model...
01-22 21:18:40: New best reward 153.8 (+2.0%) at episode 131, saving model...
01-22 21:55:04: New best reward 157.3 (+2.3%) at episode 166, saving model...
01-22 22:01:27: New best reward 173.3 (+10.2%) at episode 172, saving model...
01-22 22:02:17: New best reward 175.3 (+1.2%) at episode 173, saving model...
01-22 23:03:00: New best reward 181.8 (+3.7%) at episode 232, saving model...
01-22 23:29:18: New best reward 187.8 (+3.3%) at episode 258, saving model...
01-23 02:20:40: New best reward 204.3 (+8.8%) at episode 432, saving model...
01-23 05:32:43: New best reward 206.8 (+1.2%) at episode 637, saving model...
01-23 10:27:09: New best reward 211.8 (+2.4%) at episode 956, saving model...
01-23 15:01:06: New best reward 215.8 (+1.9%) at episode 1242, saving model...
